Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
Hydrogeologist,Healthcare,Decreasing,High,121486.58,Master’s Degree,20,9513,9493,73.27,17.27,USA,38.66
"Surveyor, minerals",Transportation,Increasing,High,60343.98,Master’s Degree,3,717,7897,98.91,5.12,USA,24.37
Stage manager,Healthcare,Decreasing,High,84178.75,Associate Degree,8,7600,137,87.64,95.49,USA,51.26
Building control surveyor,Education,Decreasing,Moderate,113637.65,Bachelor’s Degree,16,6616,4004,46.59,0.88,USA,33.84
Geophysical data processor,IT,Increasing,Low,47699.38,Master’s Degree,16,4293,9065,31.01,69.14,USA,72.14
Financial adviser,Manufacturing,Decreasing,Moderate,50801.18,Bachelor’s Degree,16,6627,1618,8.16,0.94,USA,51.22
"Doctor, hospital",Transportation,Decreasing,Low,139914.82,Master’s Degree,9,9049,8568,37.71,12.45,USA,77.62
Information officer,Transportation,Decreasing,Low,140303.16,PhD,10,8482,4551,21.34,30.03,USA,75.1
Operations geologist,IT,Decreasing,Low,37601.57,Bachelor’s Degree,12,2042,3235,26.49,25.63,USA,54.98
Chartered accountant,Entertainment,Increasing,High,58306.24,High School,18,8356,1738,7.72,50.8,USA,21.78
Automotive engineer,Manufacturing,Increasing,High,80871.16,Bachelor’s Degree,19,2725,9318,54.71,32.64,USA,38.26
Community education officer,Healthcare,Decreasing,Moderate,125594.34,Bachelor’s Degree,2,3095,6880,71.06,54.06,USA,78.64
Tree surgeon,Finance,Increasing,Moderate,87833.01,Bachelor’s Degree,20,2676,1077,22.63,88.01,USA,49.88
Tour manager,Finance,Decreasing,Low,90086.62,PhD,9,9057,8861,9.27,10.17,USA,69.87
IT trainer,Entertainment,Decreasing,High,146405.38,High School,11,6014,2519,56.2,90.41,USA,45.81
Quality manager,Entertainment,Decreasing,High,90713.04,High School,14,8245,9499,57.37,66.65,USA,25.04
Patent attorney,Transportation,Increasing,High,84209.29,PhD,8,5777,7955,11.77,60.43,USA,75.34
Dancer,IT,Increasing,Low,58567.82,Associate Degree,0,2520,8293,88.3,84.35,USA,46.8
Video editor,Healthcare,Increasing,Low,61235.37,High School,0,1210,5285,13.12,19.1,USA,60.67
"Programme researcher, broadcasting/film/video",Finance,Decreasing,Moderate,46896.84,Bachelor’s Degree,20,9515,7912,36.96,62.68,USA,67.93
Land/geomatics surveyor,Education,Increasing,Moderate,48167.2,High School,12,3398,1931,45.66,11.97,USA,53
Fast food restaurant manager,Retail,Increasing,High,70589.97,Associate Degree,16,5095,4229,86.78,23.15,USA,30.92
Administrator,Transportation,Decreasing,High,40516.62,Master’s Degree,18,6774,1175,8.51,64.13,USA,57.93
"Investment banker, corporate",Transportation,Decreasing,Moderate,145439.37,Master’s Degree,6,6305,7064,34.55,5.07,USA,44.89
Bonds trader,Healthcare,Decreasing,Moderate,105220.66,High School,12,6562,2886,7.05,25.28,USA,64.88
Musician,IT,Decreasing,Low,61453.03,Master’s Degree,11,351,7337,56.48,31.99,USA,75.92
"Engineer, broadcasting (operations)",IT,Decreasing,Low,45012.2,Bachelor’s Degree,17,5244,5574,31.6,16.83,USA,26.06
Plant breeder/geneticist,Retail,Increasing,High,71498.12,Bachelor’s Degree,1,6618,5884,62.88,57.11,USA,38.64
Photographer,Education,Decreasing,Low,77742.29,Master’s Degree,6,4646,9617,45.12,4.69,USA,50.26
Chartered accountant,Education,Increasing,Moderate,61382.72,Master’s Degree,5,4153,2765,15.59,1.21,USA,56.53
Professor Emeritus,Healthcare,Increasing,Moderate,117198.01,Bachelor’s Degree,14,3095,5383,3.34,90.76,USA,32.83
Illustrator,Entertainment,Decreasing,High,115475.46,Bachelor’s Degree,15,5193,2883,21.15,35.53,USA,80
Chartered accountant,IT,Decreasing,Moderate,71862.56,Associate Degree,14,9604,5306,44.95,22.27,USA,62.05
Cartographer,Transportation,Decreasing,High,42615.58,Associate Degree,16,4674,7992,14.98,86.82,USA,26.32
Research scientist (medical),Education,Decreasing,Low,55872.3,Bachelor’s Degree,7,6611,8804,8.45,92.29,USA,44.96
Archaeologist,Transportation,Decreasing,Low,59542.36,Bachelor’s Degree,9,3194,1592,74.35,75.66,USA,34.07
Tax inspector,Entertainment,Increasing,Low,103864.01,Master’s Degree,12,7100,6083,3.23,75.12,USA,33.47
Retail manager,IT,Decreasing,Moderate,128168.54,Bachelor’s Degree,3,849,7061,58.8,65.69,USA,60.35
Medical secretary,IT,Increasing,Moderate,117277.36,Bachelor’s Degree,9,8587,6392,44.13,20.18,USA,29.99
"Accountant, chartered public finance",Education,Decreasing,Moderate,135234.8,Associate Degree,14,1494,9715,44.59,22.77,USA,57.15
Nutritional therapist,IT,Decreasing,Moderate,76506.41,Associate Degree,18,9549,1058,6.47,0.61,USA,32.3
Chiropractor,Finance,Decreasing,Low,115985.53,PhD,14,652,5426,88.57,14.09,USA,77.09
Purchasing manager,Manufacturing,Decreasing,High,112511.11,Master’s Degree,5,2902,3864,89.27,96.52,USA,57.81
IT trainer,Healthcare,Increasing,Moderate,146664.21,PhD,4,9641,9944,87.64,99.63,USA,23.54
Geochemist,Finance,Decreasing,Low,98300.46,Bachelor’s Degree,16,7872,2197,50.39,47.54,USA,27.25
"Solicitor, Scotland",IT,Decreasing,Low,55396.24,Bachelor’s Degree,5,760,3035,45.46,37.01,USA,69.12
Hydrogeologist,Manufacturing,Decreasing,High,136784.86,Bachelor’s Degree,12,3447,2840,90.31,58.32,USA,65.56
Recruitment consultant,Healthcare,Increasing,Moderate,68311.59,PhD,18,7711,6001,59.04,15.9,USA,70.05
"Engineer, chemical",Retail,Increasing,Low,55605.16,PhD,4,222,587,24.91,35.25,USA,21.3
Legal secretary,Education,Decreasing,Low,63699.35,Associate Degree,19,799,5724,83.82,61.24,USA,51.19
Retail banker,Finance,Decreasing,High,79473.1,Bachelor’s Degree,20,1897,9290,37.48,9.84,USA,47.19
"Librarian, academic",Retail,Decreasing,High,56463.29,Master’s Degree,0,3366,3731,66.57,37.96,USA,40.02
Medical technical officer,Education,Increasing,High,105841.03,Bachelor’s Degree,5,8566,4038,58.57,47.62,USA,36.21
Barista,IT,Decreasing,Low,33417.84,Associate Degree,11,572,1271,97.76,33.11,USA,49.38
Fashion designer,Entertainment,Decreasing,High,44278.21,PhD,12,9091,329,95.8,91.03,USA,37.95
Charity officer,Healthcare,Increasing,Low,102522.61,Master’s Degree,6,8074,4907,62.68,41.46,USA,25.31
"Engineer, chemical",Entertainment,Increasing,High,37610.05,Associate Degree,8,1220,4029,40.39,78.18,USA,53.19
Conference centre manager,IT,Increasing,High,109449.22,Associate Degree,9,3552,2409,47.81,20.87,USA,74.9
Accounting technician,Education,Increasing,High,92288.08,Bachelor’s Degree,0,769,7388,46.99,8.05,USA,20.71
Photographer,IT,Increasing,Low,45204.09,Bachelor’s Degree,6,1164,6314,12.07,84.2,USA,31.41
Public librarian,Retail,Decreasing,Low,82906.83,PhD,20,7202,9293,72.01,56.66,USA,58.01
Herbalist,Retail,Decreasing,Moderate,47734.67,Associate Degree,15,5137,3847,3.75,53.66,USA,48.51
Office manager,Transportation,Increasing,High,140890.6,Bachelor’s Degree,5,8287,4803,58.78,15.45,USA,56.34
Camera operator,Transportation,Decreasing,Moderate,74198.23,High School,15,4609,4753,24.22,85.94,USA,36.92
Oceanographer,Transportation,Increasing,Moderate,143656.75,High School,10,1478,3570,97.81,9.57,USA,78.36
Building services engineer,IT,Increasing,Low,81101.32,PhD,11,5552,7604,42.57,47.62,USA,75.96
Tree surgeon,Transportation,Increasing,Moderate,54582.64,High School,19,8201,1169,34.66,74.02,USA,60.44
Haematologist,Finance,Decreasing,Moderate,34494,High School,0,3136,8561,97.19,10.95,USA,35.8
Exercise physiologist,Finance,Increasing,High,42756.54,PhD,18,2798,9762,97.32,63.96,USA,63.75
Dietitian,Entertainment,Decreasing,High,47978.04,PhD,4,6032,796,7.69,13.71,USA,48.61
Further education lecturer,Healthcare,Increasing,Moderate,44419.48,High School,3,7541,2219,2.34,12.45,USA,71.4
"Journalist, magazine",Healthcare,Increasing,Moderate,126457.88,Master’s Degree,6,2412,742,2.28,55.98,USA,23.38
"Nurse, adult",Manufacturing,Decreasing,High,45920.67,Master’s Degree,10,2502,4380,89.03,26.98,USA,51.99
Sports coach,Healthcare,Increasing,Low,120967.82,Bachelor’s Degree,15,3076,2202,19.58,46.15,USA,31.82
Personal assistant,Transportation,Decreasing,Moderate,99089.58,PhD,0,6301,2647,57.43,49.87,USA,52.41
Records manager,Transportation,Decreasing,High,47444.11,Master’s Degree,0,7837,7343,2.94,6.88,USA,53
"Teacher, secondary school",Finance,Increasing,Low,74951.73,Master’s Degree,1,3202,9111,80.27,12.22,USA,78.66
Insurance underwriter,Transportation,Increasing,Low,128401.39,High School,14,5957,294,48.02,0.03,USA,60.14
Broadcast presenter,Entertainment,Decreasing,Low,38765.27,Master’s Degree,18,8134,3171,7.26,61.4,USA,71.84
Naval architect,Manufacturing,Decreasing,Low,115898.68,Associate Degree,20,8581,8666,4.5,41.92,USA,23.53
"Designer, graphic",Manufacturing,Decreasing,Low,33419.18,Associate Degree,14,7055,3549,24.6,3.89,USA,61.66
Video editor,IT,Increasing,Moderate,100105.4,Bachelor’s Degree,13,9198,2929,65.97,39.44,USA,59.1
Herbalist,Finance,Increasing,High,104600.84,Bachelor’s Degree,0,8609,5801,69.21,97.37,USA,68.07
Multimedia specialist,IT,Increasing,Moderate,107852.78,Associate Degree,6,3104,7603,67.4,75.82,USA,35.71
Pharmacologist,Entertainment,Increasing,Low,80090.83,Associate Degree,10,3465,2219,24.34,98.02,USA,21.38
"Psychologist, clinical",IT,Increasing,Low,122965.46,Associate Degree,16,4169,3937,37.94,24.68,USA,27.37
"Psychologist, clinical",Entertainment,Decreasing,High,118487.14,Master’s Degree,19,6744,6208,5.96,22.44,USA,60.73
Insurance claims handler,Healthcare,Increasing,Moderate,31857.87,Bachelor’s Degree,6,4489,2935,92.62,76.49,USA,57.99
"Designer, ceramics/pottery",Healthcare,Increasing,High,46732.55,PhD,8,1241,4966,18.06,41.99,USA,23.13
Music tutor,IT,Increasing,High,41552.42,PhD,10,2959,7233,29.96,4.32,USA,68.33
Diplomatic Services operational officer,Retail,Decreasing,Low,115708.38,Master’s Degree,10,8123,5079,87.02,94.92,USA,41.54
"Civil engineer, consulting",Transportation,Increasing,Low,117269.35,High School,18,9902,6310,83.99,19.13,USA,60.67
Building services engineer,Entertainment,Decreasing,Moderate,54261.17,Master’s Degree,18,1829,5427,95.39,68.77,USA,54.68
"Accountant, chartered public finance",Manufacturing,Decreasing,Low,48494.55,Associate Degree,10,6315,6453,65.51,68.71,USA,28.45
Sales promotion account executive,Transportation,Decreasing,Moderate,136550.18,High School,18,4781,9422,9.45,95.28,USA,30.94
Acupuncturist,Education,Decreasing,Low,146770.15,High School,11,7898,6987,98.53,81.14,USA,51
Environmental consultant,Education,Increasing,Moderate,124016.14,Master’s Degree,3,2632,7364,10.46,29.61,USA,58
Land,Manufacturing,Decreasing,Low,87662.47,Bachelor’s Degree,17,2767,8679,73.16,21.27,USA,49.1
Archaeologist,IT,Increasing,Low,142837.75,High School,0,9839,1530,52.75,37.3,USA,36.68
Archivist,Manufacturing,Decreasing,Moderate,61573.08,High School,6,7973,6457,74.19,76.53,USA,45.1
Catering manager,Healthcare,Increasing,Low,31366.45,PhD,18,825,2777,9.18,32.08,USA,49.26
Glass blower/designer,Finance,Decreasing,Low,119080.44,Bachelor’s Degree,2,7125,9975,6.57,57.79,USA,36.54
Counsellor,Manufacturing,Decreasing,Moderate,83252.57,Associate Degree,10,4154,9910,92.48,29.8,USA,23.4
Field trials officer,Education,Decreasing,Low,118061.83,High School,1,2477,8842,64.45,16.67,USA,26.65
Rural practice surveyor,Education,Decreasing,Low,148422.87,Master’s Degree,9,1334,4466,34.38,49.26,USA,66.01
"Development worker, community",Retail,Increasing,Moderate,101294.44,Associate Degree,14,9121,5924,82.72,8.97,USA,56.7
Water quality scientist,Healthcare,Increasing,Low,34087.34,Associate Degree,17,4671,5513,35.82,54.59,USA,32.34
Financial risk analyst,Retail,Decreasing,Low,146887.36,High School,12,8651,3085,86.83,66.05,USA,51.35
Chief Financial Officer,Entertainment,Increasing,High,118224.02,High School,15,1668,1998,75.35,40.18,USA,66.32
IT consultant,Manufacturing,Decreasing,High,144622.05,Bachelor’s Degree,8,2112,2130,21.97,11.64,USA,36.74
"Loss adjuster, chartered",Healthcare,Increasing,High,97130.17,Associate Degree,19,8756,2380,25.56,81.6,USA,78
Fine artist,Finance,Increasing,Low,131437.11,Bachelor’s Degree,20,1454,4977,59.64,14.55,USA,56.16
Data processing manager,Education,Decreasing,Low,100862.01,Associate Degree,7,8051,6856,25.41,22.42,USA,35.79
"Engineer, civil (consulting)",Retail,Increasing,Low,31691.74,Bachelor’s Degree,9,2551,661,62.48,83.29,USA,65.2
Archivist,Entertainment,Decreasing,Moderate,60007.03,Associate Degree,0,9161,4403,55.61,78.03,USA,32.38
"Surveyor, hydrographic",Education,Decreasing,High,138935.49,Associate Degree,14,8362,618,61.71,87.11,USA,66
"Education officer, museum",Transportation,Decreasing,Moderate,121335.92,Associate Degree,14,4801,5090,63.28,98.11,USA,29.07
Science writer,Transportation,Increasing,Low,38548.46,Master’s Degree,17,4034,2373,94.76,34.82,USA,29.07
Ambulance person,IT,Decreasing,Low,31059.91,High School,12,4159,2217,94.5,29.78,USA,25.7
"Scientist, research (medical)",Healthcare,Decreasing,Low,69721.04,Bachelor’s Degree,10,2359,6328,84.33,26.34,USA,29.39
"Education officer, community",Manufacturing,Increasing,Moderate,88506.55,Master’s Degree,17,6906,5240,24.94,63.05,USA,33.74
Music tutor,Education,Increasing,Moderate,136525.77,Associate Degree,3,6313,5094,95.88,64.08,USA,64.04
Sales executive,Entertainment,Decreasing,Moderate,73228.75,Master’s Degree,13,4579,8370,89.23,70.53,USA,61.46
Data scientist,Education,Decreasing,Low,132024.63,PhD,11,9064,7258,4.75,68.77,USA,54.77
"Research officer, government",Manufacturing,Decreasing,Moderate,30542.87,High School,10,2929,6094,81.68,20.48,USA,28.99
"Pharmacist, hospital",Healthcare,Increasing,High,145094.92,Associate Degree,17,3155,1642,22.19,44.22,USA,59.79
Product manager,IT,Increasing,Low,74195.22,High School,1,523,457,41.22,86.74,USA,60.72
Diagnostic radiographer,Entertainment,Increasing,Moderate,107325.79,Associate Degree,13,6443,6712,31.1,77.25,USA,56.74
Insurance claims handler,Entertainment,Increasing,High,79658.7,Associate Degree,19,7784,1265,39.68,68.06,USA,64.12
Multimedia programmer,Education,Increasing,Moderate,100244.26,Master’s Degree,0,4404,5412,9.62,44.84,USA,35.47
Counsellor,Entertainment,Increasing,Moderate,80054.74,Bachelor’s Degree,10,8689,8801,33.2,3.77,USA,52.06
Airline pilot,Entertainment,Increasing,Moderate,55021.92,Master’s Degree,10,2855,3145,55.44,24.59,USA,43.55
Industrial/product designer,Finance,Increasing,Moderate,93139.94,PhD,14,8839,7868,49.54,36.87,USA,26.03
Location manager,Entertainment,Increasing,Low,50559.49,PhD,4,5707,9512,43.65,85.28,USA,76.79
Risk manager,Education,Decreasing,Low,63854.98,Associate Degree,20,8219,1280,39.65,45.47,USA,40.79
Charity fundraiser,Transportation,Decreasing,Moderate,107802.84,High School,9,3205,9822,52.8,98.87,USA,25.31
Special effects artist,Entertainment,Increasing,High,37321.07,Associate Degree,12,7779,4092,22.73,96.52,USA,26.63
Financial planner,Education,Decreasing,Moderate,76146.95,PhD,15,3132,2399,77.42,90.39,USA,74.84
Seismic interpreter,Transportation,Decreasing,High,42202.42,Associate Degree,2,8644,5222,4.74,14.46,USA,51.02
Chartered management accountant,IT,Increasing,High,79512.67,Master’s Degree,12,5800,9497,37.42,78.76,USA,33.51
Electronics engineer,Manufacturing,Increasing,Low,78300.15,Bachelor’s Degree,18,181,3898,9.21,6.18,USA,38.68
Speech and language therapist,Education,Decreasing,Moderate,86381.96,Associate Degree,1,1594,8926,10.65,25.16,USA,43.9
Insurance account manager,Education,Decreasing,Moderate,126401.7,Bachelor’s Degree,19,5951,973,91.26,38.65,USA,38.16
"Pharmacist, hospital",Healthcare,Decreasing,Moderate,146656.69,High School,13,1125,7327,30.77,3.22,USA,51.15
"Engineer, land",Education,Increasing,Moderate,62208.18,Bachelor’s Degree,9,7263,2141,9.41,81.05,USA,29.1
Learning disability nurse,Transportation,Decreasing,High,79740.8,Associate Degree,5,5415,6548,72.91,92.68,USA,62.14
Camera operator,Retail,Increasing,High,75339.27,High School,0,8576,9763,21.56,74.84,USA,69.04
IT technical support officer,Transportation,Decreasing,High,105069.3,Master’s Degree,17,7462,7685,47.46,98.26,USA,36.05
Chartered legal executive (England and Wales),Transportation,Decreasing,Moderate,118710.02,High School,4,2459,5150,19.27,5.52,USA,69.51
TEFL teacher,IT,Increasing,High,67060.57,PhD,5,1630,1751,28.38,41.42,USA,61.72
Legal executive,Healthcare,Decreasing,High,141929.88,High School,17,7761,6679,13.43,27.85,USA,71.11
Arts administrator,Healthcare,Increasing,High,93282.91,Associate Degree,3,5113,1329,6.66,62.11,USA,35.33
Community pharmacist,Manufacturing,Decreasing,High,32139.47,Master’s Degree,16,4856,3465,69.33,12.23,USA,69.62
General practice doctor,Manufacturing,Increasing,Low,119435.39,PhD,15,4077,8523,93.22,69.29,USA,34.64
Fish farm manager,Manufacturing,Increasing,Moderate,44961.4,PhD,16,9055,1793,23.76,13.78,USA,27.77
Advertising account planner,IT,Increasing,Moderate,114169.21,Associate Degree,6,6269,9323,42.9,74.8,USA,23.78
Gaffer,IT,Decreasing,Moderate,85356.16,Associate Degree,6,6169,6648,14.25,68.36,USA,52.69
Surgeon,Education,Increasing,Low,148078.31,PhD,13,3066,1662,49.65,7.78,USA,35.67
Neurosurgeon,Manufacturing,Decreasing,High,40486.88,Bachelor’s Degree,7,6836,6075,15.87,24.43,USA,52.86
Tourist information centre manager,Education,Increasing,High,32988.01,Associate Degree,18,6619,5464,3.19,94.77,USA,25.3
Warden/ranger,Manufacturing,Increasing,Moderate,89732.65,Bachelor’s Degree,2,7071,3024,99.47,41.44,USA,45.68
Government social research officer,IT,Decreasing,Low,59506.04,Bachelor’s Degree,20,7435,9037,10.5,46.42,USA,76.56
Counselling psychologist,IT,Increasing,High,33230.26,Associate Degree,4,7311,4046,89.73,59.15,USA,41.79
"Nurse, mental health",Healthcare,Increasing,High,79425.76,High School,13,7094,9745,13.13,92.4,USA,59.25
Accounting technician,Retail,Decreasing,Low,71644.55,Master’s Degree,8,5490,7186,14.43,99.07,USA,70.69
Systems developer,Retail,Decreasing,High,138596.75,Bachelor’s Degree,3,6802,3798,0.34,73.57,USA,68.29
Optometrist,IT,Increasing,High,147216.64,Bachelor’s Degree,2,8097,7960,77.6,73.79,USA,35.5
Electrical engineer,Finance,Increasing,High,48069.47,Master’s Degree,7,1057,3432,53.53,70.49,USA,71.48
"Teacher, special educational needs",Transportation,Increasing,Moderate,71239.67,PhD,3,9013,7735,62.42,20.76,USA,58.96
Marine scientist,Healthcare,Increasing,Low,80989.19,Bachelor’s Degree,0,9635,4444,88.44,87.35,USA,29.57
Toxicologist,Retail,Decreasing,High,49811.21,Bachelor’s Degree,4,2537,5757,74.94,93.13,USA,41.7
Educational psychologist,Education,Decreasing,Low,51310.31,High School,5,3108,9275,83.49,49.27,USA,35.95
Food technologist,Transportation,Increasing,High,128041.29,Associate Degree,19,9139,4001,23.16,17.26,USA,37.33
Nutritional therapist,IT,Increasing,Low,144379.14,Bachelor’s Degree,16,5296,9169,92.59,24.53,USA,32.78
Immunologist,Retail,Increasing,High,139230.85,PhD,11,1637,6370,96.32,56.27,USA,23.84
Equities trader,Education,Decreasing,Low,110472.39,Bachelor’s Degree,17,4964,2416,87.01,42.84,USA,69.61
Financial risk analyst,Healthcare,Decreasing,Moderate,61477.7,Associate Degree,16,4396,9824,93.61,52.19,USA,55.96
Office manager,Entertainment,Increasing,Moderate,93581.81,Associate Degree,3,1268,7427,77.36,60.66,USA,63.75
"Geneticist, molecular",Entertainment,Increasing,Low,121544.08,High School,1,7861,4830,63.3,35.23,USA,66.73
Warehouse manager,Education,Increasing,High,103068.72,PhD,19,6588,5278,53.59,9.91,USA,47.07
Optometrist,Manufacturing,Increasing,Moderate,86463.89,High School,19,3869,9895,9.87,73.52,USA,24.85
Trading standards officer,Manufacturing,Increasing,High,35699.39,PhD,15,8358,5517,24.31,91.22,USA,20.49
Structural engineer,Manufacturing,Increasing,Low,58195.76,Bachelor’s Degree,15,4154,4402,97.35,87.22,USA,73.72
"Producer, radio",Healthcare,Decreasing,High,43458.86,Master’s Degree,0,1681,4349,19.99,0.15,USA,26.6
"Designer, graphic",Manufacturing,Decreasing,Low,112674.3,Master’s Degree,16,1243,7049,59.16,23.31,USA,24.22
Human resources officer,Entertainment,Increasing,Low,127905.17,PhD,13,8328,5922,2.24,61.23,USA,24.62
Manufacturing systems engineer,Finance,Increasing,Moderate,78297.81,Bachelor’s Degree,5,2395,7154,38.37,26.04,USA,21.91
Clothing/textile technologist,Transportation,Increasing,High,94484.37,Bachelor’s Degree,19,762,6824,21.09,59.71,USA,27.15
Visual merchandiser,Manufacturing,Decreasing,High,64538.61,Associate Degree,7,5795,8079,40.83,5.49,USA,47.1
Tourist information centre manager,Retail,Decreasing,Low,134075.62,Master’s Degree,1,1481,8785,12.61,66.31,USA,21.87
Financial risk analyst,Transportation,Increasing,High,114334.35,Associate Degree,18,6086,6054,53.6,35.14,USA,58.66
Armed forces training and education officer,Healthcare,Increasing,Low,145007.44,Associate Degree,8,1216,694,52.82,74.7,USA,22.21
Magazine journalist,Retail,Decreasing,High,108167.62,Associate Degree,2,3491,7222,44.52,79.04,USA,32.24
Trading standards officer,Manufacturing,Decreasing,Low,90416.44,Master’s Degree,15,6251,2504,88.54,67.04,USA,75.49
Armed forces logistics/support/administrative officer,Education,Increasing,High,105534.13,PhD,19,2528,5356,39.5,40.97,USA,56.52
"Surveyor, insurance",IT,Decreasing,Moderate,70205.21,Bachelor’s Degree,5,5655,8202,74.99,49.36,USA,59.43
Petroleum engineer,Retail,Decreasing,Low,146127.42,Bachelor’s Degree,6,5676,1938,12.09,12.82,USA,38.07
Commercial art gallery manager,IT,Increasing,High,73558.82,Master’s Degree,16,8523,1099,58.61,8.29,USA,28.07
Technical sales engineer,Entertainment,Decreasing,Moderate,109211.04,Master’s Degree,14,9180,4692,82.75,41,USA,33.23
Air cabin crew,Retail,Decreasing,High,78668.46,Associate Degree,18,1682,9013,2.96,56.08,USA,48.9
"Restaurant manager, fast food",Retail,Increasing,Moderate,53883.05,High School,1,1048,5716,45.52,64.62,USA,47.33
Materials engineer,Education,Increasing,High,67517.69,PhD,7,2553,3655,41.3,96.84,USA,72.45
"Biochemist, clinical",Finance,Increasing,Low,41408.59,Master’s Degree,12,1691,1361,9.99,60.78,USA,68.26
Biomedical scientist,Retail,Decreasing,Moderate,66198.73,PhD,6,771,2456,46.91,55.78,USA,33.89
Health and safety inspector,Education,Decreasing,Moderate,31375.5,High School,9,3508,1243,32.51,34.89,USA,43.75
Tax adviser,IT,Increasing,Low,58093.92,Bachelor’s Degree,11,202,3774,1.89,54.77,USA,47.87
Arts administrator,Education,Decreasing,Moderate,38546.32,High School,0,2522,5975,45.65,16.04,USA,27.13
Occupational psychologist,Finance,Decreasing,Moderate,133213.36,PhD,16,3237,635,23.62,5.85,USA,30.42
Field seismologist,Education,Increasing,Moderate,99882.63,High School,8,9390,6609,35.11,42.97,USA,54.18
Warden/ranger,Entertainment,Increasing,High,106860.07,PhD,15,2254,618,43.57,20.63,USA,66.46
Photographer,IT,Increasing,Low,83287.33,Associate Degree,5,7495,8323,59.4,0.59,USA,31.37
Mechanical engineer,IT,Increasing,Low,132865.84,Bachelor’s Degree,20,8159,1772,19.93,32.49,USA,72.06
Soil scientist,Finance,Decreasing,Low,68752.66,High School,7,1702,6024,61.57,49.68,USA,57.08
Diagnostic radiographer,Education,Decreasing,Moderate,132447.9,High School,20,8614,2356,87.91,11.17,USA,53.41
"Designer, multimedia",Manufacturing,Increasing,Low,95321.91,Master’s Degree,4,3880,5595,93.77,26.33,USA,43.05
Insurance underwriter,Finance,Increasing,Low,128495.34,Master’s Degree,11,3982,9877,34.19,12.66,USA,22.72
Cartographer,Healthcare,Increasing,Moderate,45828.93,PhD,15,5635,1333,88.22,62.65,USA,57.1
"Accountant, chartered",Manufacturing,Increasing,Low,93109.58,Master’s Degree,5,7190,2701,87.8,59.03,USA,35.92
"Education officer, environmental",Retail,Decreasing,High,96162.82,Bachelor’s Degree,3,2117,8110,27.21,17.71,USA,51.32
Ambulance person,Healthcare,Increasing,High,47602.9,Master’s Degree,7,5946,2766,22.16,78.12,USA,74.42
Tax adviser,Retail,Decreasing,Moderate,135796.6,Associate Degree,18,2663,1622,10.82,3.46,USA,60.32
Medical illustrator,Entertainment,Increasing,Moderate,149649.78,Associate Degree,20,2657,2058,33.76,94.8,USA,51.87
Psychiatrist,Entertainment,Decreasing,Moderate,70842.67,Master’s Degree,13,7519,2360,27.99,98.56,USA,33.75
"Development worker, community",Entertainment,Increasing,Moderate,109072.51,Bachelor’s Degree,8,7189,295,57.73,23.35,USA,66.05
Air cabin crew,Entertainment,Increasing,High,93798.86,PhD,0,1943,9255,54.77,2.85,USA,59.85
Soil scientist,IT,Decreasing,Low,112392.21,High School,18,3272,6117,4.74,7.3,USA,71.9
"Merchandiser, retail",Finance,Increasing,Low,147278.93,High School,20,6942,8193,12.27,28.28,USA,21.14
Careers information officer,Education,Decreasing,High,119859.82,PhD,7,719,6025,33.74,68.32,USA,34.89
Operations geologist,Entertainment,Decreasing,Low,40775.14,PhD,1,1901,5596,59.11,75.43,USA,69.83
Animator,Entertainment,Increasing,Low,101484.37,High School,6,5770,250,98.1,1.78,USA,38.71
Animal nutritionist,Manufacturing,Decreasing,Moderate,106355.73,Master’s Degree,0,5363,8611,94.6,58.66,USA,53.15
"Editor, film/video",Retail,Decreasing,High,35851.22,Associate Degree,4,7931,8424,25.94,20.7,USA,45.82
Telecommunications researcher,IT,Increasing,Low,35685.86,Associate Degree,11,4949,2493,5.08,10.37,USA,60.91
Building services engineer,Manufacturing,Increasing,High,138323.98,Bachelor’s Degree,17,7607,7458,45.26,79.94,USA,57.67
Fisheries officer,IT,Decreasing,High,105700.29,PhD,19,2903,9607,19.94,50.1,USA,46.93
Chief of Staff,Retail,Decreasing,Low,58883.97,Associate Degree,3,7251,2524,49.27,17.66,USA,39.59
"Nurse, learning disability",Healthcare,Decreasing,Moderate,76715.59,Associate Degree,10,5056,4474,51.84,67.4,USA,31.52
"Designer, textile",IT,Increasing,High,145767.05,Bachelor’s Degree,5,9746,8100,76.28,19.7,USA,54.08
Broadcast journalist,IT,Increasing,High,107337.18,Bachelor’s Degree,4,9089,1588,95.84,57.4,USA,63.61
Media buyer,Retail,Decreasing,Moderate,68137.2,Bachelor’s Degree,11,4572,7500,60.68,33.12,USA,47.32
Chiropractor,IT,Increasing,High,137758.65,PhD,7,4605,8906,18.96,53.11,USA,58.94
Soil scientist,Transportation,Decreasing,High,113779.95,High School,8,6729,5839,67.76,45.11,USA,63.36
Engineering geologist,Education,Decreasing,High,89135.16,PhD,18,1907,7741,43.12,15.85,USA,64.76
Financial controller,Retail,Increasing,Moderate,98480.05,PhD,8,1824,5911,81.65,50.56,USA,63.48
Historic buildings inspector/conservation officer,Finance,Decreasing,Moderate,125590.51,High School,17,5855,3368,47.22,21.47,USA,70.09
Charity fundraiser,Manufacturing,Increasing,High,79220.52,Master’s Degree,3,7430,6299,28.19,61.32,USA,61.84
